code;product_name;alcohol_100g;brands;main_category;categories;address;manufacturing_places;image_front_url
3261570003755;Belzebuth Blanche;4.5;Brasserie Goudale - Les Brasseurs de Gayant;Wheat Beer;Bière Blanche;Arques, Hauts-de-France France;France;https://static.openfoodfacts.org/images/products/326/157/000/3755/front_fr.3.400.jpg
3347970011382;Belzebuth Pink;2.8;Brasserie Goudale - Les Brasseurs de Gayant;Lager;Bière Rousse;Arques, Hauts-de-France France;France;https://static.openfoodfacts.org/images/products/334/797/001/1382/front_fr.6.400.jpg
3347970011146;Belzebuth Rouge;8.5;Brasserie Goudale - Les Brasseurs de Gayant;Lager;Bière Rousse;Arques, Hauts-de-France France;France;
3261570007036;Belzebuth Violette;2.8;Brasserie Goudale - Les Brasseurs de Gayant;Lager;Bière Aromatisée;Arques, Hauts-de-France France;France;https://static.openfoodfacts.org/images/products/326/157/000/7036/front_fr.4.400.jpg
4052197001175;Benediktiner Weissbier Naturtrüb;5.4;Benediktiner;Wheat Beer;Bière Blanche;Kaiser-Ludwig-Platz 1, 82488 Ettal, Germany;Allemagne;https://static.openfoodfacts.org/images/products/405/219/700/1175/front_de.5.400.jpg
4052197002455;Benediktiner Original;5;Benediktiner;Lager;Bière Blonde;Kaiser-Ludwig-Platz 1, 82488 Ettal, Germany;Allemagne;https://static.openfoodfacts.org/images/products/405/219/700/2455/front_fr.5.400.jpg
4052197000390;Benediktiner Weissbier;5.4;Benediktiner;Wheat Beer;Bière Blanche;Kaiser-Ludwig-Platz 1, 82488 Ettal, Germany;Allemagne;https://static.openfoodfacts.org/images/products/405/219/700/0390/front_fr.3.400.jpg
4004160005338;Berliner Pilsner;5;Berliner;Pils;Bière Blonde;Berlin, Germany;Allemagne;
4260472020500;Berliner Weisse;4.5;Berliner;Wheat Beer;Bière Blanche;Berlin, Germany;Allemagne;https://static.openfoodfacts.org/images/products/426/047/202/0500/front_de.8.400.jpg
4053400287348;Berliner Zwickel Naturtrüb;5.2;Berliner;Ale;Bière Blonde;Berlin, Germany;Allemagne;https://static.openfoodfacts.org/images/products/405/340/028/7348/front_de.5.400.jpg
4100080000931;Berliner Kindl Pilsener;5.1;Berliner;Pils;Bière Blonde;Berlin, Germany;Allemagne;https://static.openfoodfacts.org/images/products/410/008/000/0931/front_de.4.400.jpg
4053400263663;Berliner Kindl Weisse;3;Berliner;Wheat Beer;Bière Blanche;Berlin, Germany;Allemagne;https://static.openfoodfacts.org/images/products/405/340/026/3663/front_fr.6.400.jpg
7640117630030;La Torpille;7.5;BFM;Stout;Bière Brune;Saignelégier, Jura Switzerland;Suisse;https://static.openfoodfacts.org/images/products/764/011/763/0030/front_fr.10.400.jpg
7640117630016;La Salamandre;5.5;BFM;Wheat Beer;Bière Blanche;Saignelégier, Jura Switzerland;Suisse;https://static.openfoodfacts.org/images/products/764/011/763/0016/front_fr.12.400.jpg
3760195150016;Green Flower;5.5;Bières Bio Mont d'Or;Ale;Bière Blonde;France;France;https://static.openfoodfacts.org/images/products/376/019/515/0016/front_fr.5.400.jpg
3760195150047;Nickel;5.5;Bières Bio Mont d'Or;Ale;Bière Blonde;France;France;https://static.openfoodfacts.org/images/products/376/019/515/0047/front_fr.11.400.jpg
8034076801010;Comunale;4.2;Birra Amiata;Ale;Bière Blonde;Arcidosso, Toscana Italy;Italie;https://static.openfoodfacts.org/images/products/803/407/680/1010/front_en.16.400.jpg
8034076803373;Contessa;6.6;Birra Amiata;IPA;Bière Blonde;Arcidosso, Toscana Italy;Italie;https://static.openfoodfacts.org/images/products/803/407/680/3373/front_en.10.400.jpg
4102430015008;Bitburger Premium Pils;4.8;Bitburger;Pils;Bière Blonde;Bitburg, Rheinland-Pfalz Germany;Allemagne;
4102430070915;Bitburger Radler;0;Bitburger;Lager;Bière Aromatisée;Bitburg, Rheinland-Pfalz Germany;Allemagne;https://static.openfoodfacts.org/images/products/410/243/007/0915/front_en.4.400.jpg
41024355;Bitburger Premium Beer;4.8;Bitburger;Pils;Bière Blonde;Bitburg, Rheinland-Pfalz Germany;Allemagne;https://static.openfoodfacts.org/images/products/41024355/front_fr.7.400.jpg
4102430017125;Bitburger Radler Zitrone;2.5;Bitburger;Lager;Bière Aromatisée;Bitburg, Rheinland-Pfalz Germany;Allemagne;https://static.openfoodfacts.org/images/products/410/243/001/7125/front_de.3.400.jpg
4102430072360;Bitburger Winterbock;7;Bitburger;Hell;Bière Blonde;Bitburg, Rheinland-Pfalz Germany;Allemagne;https://static.openfoodfacts.org/images/products/410/243/007/2360/front_de.4.400.jpg
2000000055812;Rsd Stout;6.4;Bitchin' Brewery;Stout;Bière Brune;Hitchin, Hertfordshire England;Etats-Unis;https://static.openfoodfacts.org/images/products/200/000/005/5812/front_en.6.400.jpg
5024583000016;Black Sheep Ale;4.4;Black Sheep Brewery;Ale;Bière Blonde;Masham, North Yorkshire England;Angleterre;https://static.openfoodfacts.org/images/products/502/458/300/0016/front_en.5.400.jpg
5024583000054;Monty Python'S Holy Grail;4.7;Black Sheep Brewery;Ale;Bière Blonde;Masham, North Yorkshire England;Angleterre;https://static.openfoodfacts.org/images/products/502/458/300/0054/front_en.6.400.jpg
5998817523438;Borsodi Bivaly;6.5;Borsodi;Lager;Bière Blonde;Bőcs, Alföld és Észak Hungary;Hongrie;https://static.openfoodfacts.org/images/products/599/881/752/3438/front_hu.5.400.jpg
5998817520383;Borsodi Rákóczi Sör;4.1;Borsodi;Lager;Bière Blonde;Bőcs, Alföld és Észak Hungary;Hongrie;https://static.openfoodfacts.org/images/products/599/881/752/0383/front_hu.6.400.jpg
3582740000160;Bourganel Au Miel De Châtaignier;5;Bourganel;Bière de Garde;Bière Aromatisée;Vals-les-Bains, Auvergne-Rhône-Alpes France;France;https://static.openfoodfacts.org/images/products/358/274/000/0160/front_fr.5.400.jpg
3582740000016;Brimbel;5;Bourganel;Ale;Bière Aromatisée;Vals-les-Bains, Auvergne-Rhône-Alpes France;France;https://static.openfoodfacts.org/images/products/358/274/000/0016/front_fr.13.400.jpg
3582740000023;Combel;5;Bourganel;Lager;Bière Aromatisée;Vals-les-Bains, Auvergne-Rhône-Alpes France;France;https://static.openfoodfacts.org/images/products/358/274/000/0023/front_fr.13.400.jpg
3582740000115;Nougabel;5;Bourganel;Lager;Bière Aromatisée;Vals-les-Bains, Auvergne-Rhône-Alpes France;France;https://static.openfoodfacts.org/images/products/358/274/000/0115/front_fr.5.400.jpg
3777741785363;La Fée Torchette;7;Brasserie Artesienne;Ale;Bière Blonde;Haisnes, Pas-de-Calais France;France;https://static.openfoodfacts.org/images/products/377/774/178/5363/front_fr.6.400.jpg
3770001785110;Weed;5.5;Brasserie Artésienne;IPA;Bière Aromatisée;Haisnes, Pas-de-Calais France;France;https://static.openfoodfacts.org/images/products/377/000/178/5110/front_fr.6.400.jpg
3760062030342;La Saint-Pierre Bière Ambrée D'Alsace;5.4;Brasserie La Saint-Pierre;Bière de Garde;Bière Ambrée;Saint-Pierre, Grand-Est France;France;https://static.openfoodfacts.org/images/products/376/006/203/0342/front_fr.7.400.jpg
3760062030168;La Saint-Pierre Bière Blanche D'Alsace;5.2;Brasserie La Saint-Pierre;Wheat Beer;Bière Blanche;Saint-Pierre, Grand-Est France;France;https://static.openfoodfacts.org/images/products/376/006/203/0168/front_fr.6.400.jpg
3760062030069;La Saint-Pierre Bière Blonde D'Alsace;5.5;Brasserie La Saint-Pierre;Pils;Bière Blonde;Saint-Pierre, Grand-Est France;France;https://static.openfoodfacts.org/images/products/376/006/203/0069/front_fr.6.400.jpg
3760062030410;La Saint-Pierre Bière Brune D'Alsace;5.6;Brasserie La Saint-Pierre;Stout;Bière Brune;Saint-Pierre, Grand-Est France;France;https://static.openfoodfacts.org/images/products/376/006/203/0410/front_fr.7.400.jpg
3760045535109;La Bête Des Vosges;8;Brasserie Artisanale des Vosges;Ale;Bière Ambrée;Saint-Etienne-lès-Remiremont, Vosges France;France;https://static.openfoodfacts.org/images/products/376/004/553/5109/front_fr.7.400.jpg
3393190001801;La Pucelle;4;Brasserie Artisanale des Vosges;Wheat Beer;Bière Blanche;Saint-Etienne-lès-Remiremont, Vosges France;France;https://static.openfoodfacts.org/images/products/339/319/000/1801/front_fr.6.400.jpg
3770007175052;Blanche Bisontine;5;Brasserie Artisanale Gangloff;Wheat Beer;Bière Blanche;France,Franche-Comté,Besançon;France;https://static.openfoodfacts.org/images/products/377/000/717/5052/front_fr.5.400.jpg
